,Attained_Age,Observation_Year,Death_Claim_Amount,Amount_Exposed,qx
199,42,2019,186241241,407636212786.64185,0.00045688100114275003
200,43,2012,147202863,322137559792.34515,0.00045695653463970247
201,43,2013,153480036,369707168082.76215,0.00041513946509590577
202,43,2014,155721966,392120421770.9103,0.00039712791620676654
203,43,2015,171917589,394196058611.2827,0.00043612203938732977
204,43,2016,201087080,385370597500.89026,0.0005218018222044962
205,43,2017,209986348,384464805078.344,0.00054617833733106
206,43,2018,181585595,402353186148.2916,0.00045130895256058606
207,43,2019,196190489,408036642171.8687,0.0004808158599574074
208,44,2012,163337003,308574894458.8607,0.0005293269346699108
209,44,2013,161533993,353392521916.6198,0.00045709510807960074
210,44,2014,239706676,385422956340.42035,0.0006219314964422666
211,44,2015,226558864,418427114024.6766,0.0005414535922895255
212,44,2016,186456229,410230181286.4221,0.0004545161168183687
213,44,2017,195429655,395724941889.0325,0.0004938522552232797
214,44,2018,210780486,404634289785.1409,0.0005209160254607279
215,44,2019,164585513,416423556394.5466,0.00039523583734072206
216,45,2012,173825873,303190306371.6316,0.0005733226602137311
217,45,2013,140792664,337101642219.88086,0.0004176564168387093
218,45,2014,216190430,367429125816.161,0.000588386752192771
219,45,2015,220063715,408987593694.20856,0.0005380694143122029
220,45,2016,230598967,433982040938.327,0.0005313560130308948
221,45,2017,229155991,417930655017.0161,0.0005483110373673591
222,45,2018,233483025,414833521669.034,0.0005628354817147092
223,45,2019,225547369,417753487578.47894,0.0005399054124177211
224,46,2012,157984845,297799880380.7213,0.0005305067443211354
225,46,2013,199964647,329072252374.1566,0.0006076618297571906
226,46,2014,194938689,349238136998.3296,0.0005581827078665593
227,46,2015,322137706,387670031668.0496,0.0008309584948156039
228,46,2016,245064623,421848254739.9506,0.0005809307499709123
229,46,2017,268504812,439319944527.31396,0.0006111828414457659
230,46,2018,278289078,438217572447.16223,0.0006350477376932539
231,46,2019,299982934,426195002732.156,0.000703863095711907
232,47,2012,183959817,297096147210.2291,0.0006191928731739076
233,47,2013,234883370,321916725564.96063,0.0007296401564341898
234,47,2014,216167150,339509545112.4407,0.0006367041902412745
235,47,2015,229734550,368132116845.6413,0.0006240546246507698
236,47,2016,263051065,399274688789.89514,0.0006588222904818837
237,47,2017,250134939,425245545491.3187,0.0005882129552021526
238,47,2018,292066498,460507228760.1731,0.0006342278247973061
239,47,2019,286727810,447985558486.1311,0.0006400380649968577
240,48,2012,213857219,290919722817.5011,0.0007351073242090096
241,48,2013,256175520,319306460534.38434,0.0008022873059670331
242,48,2014,249615364,331433875770.7526,0.0007531377515937896
243,48,2015,216647177,357439606385.4935,0.0006061084813481724
244,48,2016,218817779,377651175491.01086,0.0005794177092537832
245,48,2017,340329477,400498788996.90393,0.000849764060092154
246,48,2018,298099644,445408996100.9093,0.0006692717179256619
247,48,2019,310163789,469276769861.25,0.0006609400015511218
248,49,2012,231899912,277870333961.6639,0.0008345616053853156
249,49,2013,249094172,312287490110.9791,0.0007976437734072479
250,49,2014,303376635,328613100777.83325,0.0009232031050554647
251,49,2015,274356089,347835010354.8778,0.0007887535205846268
252,49,2016,319221349,366311355267.1439,0.0008714481394309984
253,49,2017,262903508,378545066836.7048,0.000694510458680499
254,49,2018,316479062,420073905017.3452,0.000753389006600951
255,49,2019,359003842,453383123321.71875,0.0007918332719792316
256,50,2012,201983930,265497251020.2869,0.0007607759749820017
257,50,2013,234102831,296909813071.032,0.0007884644450737431
258,50,2014,281926747,320735949980.08936,0.0008789995228707647
259,50,2015,278802481,344018016589.6942,0.0008104298831898797
260,50,2016,290868585,355440232253.1358,0.0008183333190961077
261,50,2017,333568686,366541744312.6093,0.0009100428291613959
262,50,2018,346280148,395513614217.35583,0.0008755201731430175
263,50,2019,345500157,426260723909.89136,0.0008105371609912538
264,51,2012,302487163,250819759432.14832,0.0012059941516761909
265,51,2013,223644834,281213374693.04,0.0007952851966735962
266,51,2014,325575800,303552443362.2291,0.001072552065118746
267,51,2015,300179353,333728744214.8668,0.0008994710770455347
268,51,2016,355649642,349824414037.09064,0.0010166518622748031
269,51,2017,307605661,353809884708.6533,0.00086940946054489
270,51,2018,325929153,380706443981.10583,0.0008561167223536032
271,51,2019,347329125,399508205110.1116,0.0008693917185111878
